censura,sexo,idade,cr,rep_ga,rep_calc,rep_prob,tempo,instmae,seg_grau,cotas,renda,statusc,sexo1
1.0,M,20.0,6.6,0.0,0.0,0.0,8.0,2.0,1.0,1,3.0,1,1
1.0,F,21.0,4.8,0.0,1.0,1.0,15.0,2.0,0.0,0,1.0,1,0
0.0,F,19.0,0.0,1.0,8.0,8.0,6.0,2.0,1.0,1,3.0,2,0
3.0,F,19.0,4.1,0.0,1.0,1.0,6.0,2.0,1.0,1,2.0,3,0
1.0,M,21.0,6.2,0.0,0.0,1.0,11.0,1.0,0.0,0,1.0,1,1
0.0,F,38.0,4.1,0.0,0.0,1.0,8.0,3.0,1.0,1,3.0,2,0
1.0,F,19.0,6.0,0.0,0.0,1.0,12.0,2.0,0.0,0,1.0,1,0
1.0,F,18.0,5.7,0.0,0.0,0.0,11.0,2.0,1.0,1,1.0,1,0
0.0,F,31.0,0.0,1.0,8.0,8.0,5.0,0.0,1.0,1,1.0,2,0
4.0,F,18.0,4.8,2.0,0.0,0.0,8.0,2.0,1.0,1,1.0,3,0
0.0,M,33.0,4.3,1.0,2.0,2.0,10.0,1.0,1.0,1,2.0,2,1
0.0,M,21.0,2.6,2.0,2.0,8.0,7.0,2.0,1.0,1,2.0,2,1
0.0,M,21.0,2.2,3.0,5.0,8.0,8.0,2.0,0.0,0,1.0,2,1
0.0,M,22.0,0.8,4.0,3.0,8.0,8.0,0.0,0.0,0,1.0,2,1
0.0,F,25.0,3.5,2.0,3.0,4.0,16.0,0.0,0.0,0,2.0,2,0
1.0,F,20.0,7.4,0.0,0.0,0.0,9.0,2.0,0.0,0,1.0,1,0
1.0,F,20.0,3.9,0.0,0.0,0.0,17.0,0.0,0.0,1,1.0,1,0
0.0,M,20.0,0.9,0.0,1.0,8.0,5.0,3.0,0.0,0,3.0,2,1
1.0,F,18.0,7.7,0.0,0.0,0.0,10.0,2.0,0.0,0,1.0,1,0
0.0,M,23.0,5.4,1.0,2.0,8.0,6.0,2.0,1.0,1,4.0,2,1
0.0,M,18.0,1.1,2.0,2.0,8.0,5.0,2.0,1.0,1,2.0,2,1
1.0,M,23.0,7.7,0.0,0.0,0.0,8.0,2.0,0.0,0,2.0,1,1
0.0,M,31.0,0.2,9.0,9.0,9.0,4.0,2.0,1.0,1,1.0,2,1
0.0,M,24.0,1.1,4.0,5.0,8.0,6.0,1.0,0.0,1,2.0,2,1
0.0,F,20.0,2.7,1.0,2.0,1.0,6.0,1.0,1.0,1,2.0,2,0
1.0,M,50.0,6.6,9.0,9.0,9.0,10.0,0.0,0.0,0,4.0,1,1
1.0,M,21.0,5.2,0.0,0.0,1.0,14.0,2.0,0.0,0,2.0,1,1
0.0,M,19.0,4.2,1.0,0.0,2.0,8.0,2.0,1.0,1,2.0,2,1
1.0,F,18.0,6.0,0.0,1.0,1.0,12.0,2.0,1.0,1,4.0,1,0
0.0,M,34.0,1.3,9.0,9.0,9.0,6.0,2.0,0.0,0,3.0,2,1
1.0,F,25.0,5.3,1.0,1.0,1.0,13.0,0.0,0.0,0,1.0,1,0
0.0,M,18.0,1.8,2.0,1.0,8.0,6.0,2.0,0.0,1,0.0,2,1
1.0,F,20.0,5.3,0.0,1.0,1.0,11.0,1.0,1.0,1,3.0,1,0
1.0,M,33.0,5.1,9.0,9.0,9.0,8.0,1.0,1.0,1,1.0,1,1
1.0,F,20.0,7.8,0.0,1.0,0.0,8.0,1.0,0.0,0,1.0,1,0
3.0,M,25.0,4.0,1.0,8.0,8.0,3.0,2.0,0.0,0,2.0,3,1
0.0,M,22.0,0.0,2.0,8.0,8.0,4.0,2.0,1.0,1,1.0,2,1
4.0,F,36.0,0.0,0.0,1.0,8.0,8.0,0.0,1.0,0,1.0,3,0
1.0,F,19.0,6.1,0.0,1.0,1.0,10.0,2.0,0.0,0,0.0,1,0
1.0,M,18.0,7.0,1.0,0.0,0.0,10.0,1.0,0.0,0,1.0,1,1
0.0,M,19.0,0.8,3.0,1.0,8.0,4.0,1.0,1.0,1,2.0,2,1
1.0,M,24.0,5.7,0.0,1.0,0.0,12.0,2.0,0.0,1,4.0,1,1
1.0,M,20.0,6.3,0.0,0.0,0.0,8.0,0.0,0.0,0,1.0,1,1
3.0,M,19.0,2.4,1.0,8.0,8.0,3.0,0.0,0.0,0,0.0,3,1
1.0,F,18.0,8.0,0.0,1.0,0.0,8.0,3.0,0.0,0,1.0,1,0
3.0,F,31.0,5.8,9.0,9.0,2.0,11.0,1.0,1.0,0,3.0,3,0
3.0,F,20.0,4.1,0.0,2.0,1.0,17.0,2.0,1.0,1,4.0,3,0
0.0,F,20.0,5.4,0.0,1.0,0.0,14.0,3.0,1.0,1,3.0,2,0
0.0,M,20.0,99.0,8.0,8.0,8.0,4.0,0.0,0.0,0,2.0,2,1
0.0,F,20.0,1.2,3.0,3.0,8.0,8.0,2.0,1.0,1,3.0,2,0
0.0,M,47.0,1.9,9.0,9.0,2.0,6.0,1.0,0.0,0,3.0,2,1
0.0,F,20.0,2.9,1.0,8.0,8.0,6.0,2.0,0.0,1,2.0,2,0
0.0,M,19.0,1.7,4.0,3.0,8.0,6.0,2.0,1.0,1,2.0,2,1
0.0,F,20.0,4.9,0.0,1.0,0.0,8.0,2.0,1.0,1,2.0,2,0
